Time_s,Voltage_mV
0.294000,-0.644351
0.295000,-0.638511
0.296000,-0.638187
0.297000,-0.651489
0.298000,-0.665439
0.299000,-0.679389
0.300000,-0.701126
0.301000,-0.722214
0.302000,-0.715401
0.303000,-0.700153
0.304000,-0.691718
0.305000,-0.701451
0.306000,-0.715725
0.307000,-0.725458
0.308000,-0.734542
0.309000,-0.756604
0.310000,-0.775420
0.311000,-0.784504
0.312000,-0.797482
0.313000,-0.813054
0.314000,-0.825383
0.315000,-0.856528
0.316000,-0.888646
0.317000,-0.913303
0.318000,-0.934715
0.319000,-0.950288
0.320000,-0.960345
0.321000,-0.973647
0.322000,-0.983379
0.323000,-0.981757
0.324000,-0.965536
0.325000,-0.925956
0.326000,-0.882806
0.327000,-0.831222
0.328000,-0.770878
0.329000,-0.708912
0.330000,-0.646298
0.331000,-0.592442
0.332000,-0.541831
0.333000,-0.491220
0.334000,-0.445800
0.335000,-0.412709
0.336000,-0.386105
0.337000,-0.362746
0.338000,-0.340361
0.339000,-0.325437
0.340000,-0.313109
0.341000,-0.304998
0.342000,-0.293967
0.343000,-0.288128
0.344000,-0.296238
0.345000,-0.308567
0.346000,-0.311487
0.347000,-0.307593
0.348000,-0.304025
0.349000,-0.308242
0.350000,-0.306296
0.351000,-0.309540
0.352000,-0.316677
0.353000,-0.322842
0.354000,-0.325113
0.355000,-0.327384
0.356000,-0.324464
0.357000,-0.315055
0.358000,-0.298509
0.359000,-0.288452
0.360000,-0.287154
0.361000,-0.285208
0.362000,-0.280017
0.363000,-0.271582
0.364000,-0.256982
0.365000,-0.249845
0.366000,-0.261849
0.367000,-0.274826
0.368000,-0.272880
0.369000,-0.261200
0.370000,-0.245952
0.371000,-0.232001
0.372000,-0.223242
0.373000,-0.226486
0.374000,-0.227784
0.375000,-0.229730
0.376000,-0.232001
0.377000,-0.225837
0.378000,-0.221944
0.379000,-0.230379
0.380000,-0.230704
0.381000,-0.222593
0.382000,-0.218375
0.383000,-0.227459
0.384000,-0.231353
0.385000,-0.222593
0.386000,-0.215131
0.387000,-0.219998
0.388000,-0.227784
0.389000,-0.231028
0.390000,-0.232001
0.391000,-0.215780
0.392000,-0.197936
0.393000,-0.212211
0.394000,-0.218051
0.395000,-0.216429
0.396000,-0.215780
0.397000,-0.216104
0.398000,-0.209616
0.399000,-0.203127
0.400000,-0.214807
0.401000,-0.224864
0.402000,-0.235570
0.403000,-0.247250
0.404000,-0.250818
0.405000,-0.255036
0.406000,-0.253738
0.407000,-0.248547
0.408000,-0.248872
0.409000,-0.253414
0.410000,-0.258605
0.411000,-0.259578
0.412000,-0.260227
0.413000,-0.245952
0.414000,-0.232650
0.415000,-0.227135
0.416000,-0.219673
0.417000,-0.221295
0.418000,-0.228433
0.419000,-0.240761
0.420000,-0.244654
0.421000,-0.249521
0.422000,-0.264120
0.423000,-0.271906
0.424000,-0.269635
0.425000,-0.259578
0.426000,-0.251143
0.427000,-0.249196
0.428000,-0.249196
0.429000,-0.243032
0.430000,-0.239463
0.431000,-0.239139
0.432000,-0.240437
0.433000,-0.244979
0.434000,-0.246925
0.435000,-0.242383
0.436000,-0.229082
0.437000,-0.222917
0.438000,-0.219024
0.439000,-0.223891
0.440000,-0.231353
0.441000,-0.232001
0.442000,-0.238814
0.443000,-0.250494
0.444000,-0.259902
0.445000,-0.270609
0.446000,-0.268338
0.447000,-0.259253
0.448000,-0.253738
0.449000,-0.248547
0.450000,-0.242383
0.451000,-0.238490
0.452000,-0.239139
0.453000,-0.241410
0.454000,-0.246276
0.455000,-0.247574
0.456000,-0.240761
0.457000,-0.223891
0.458000,-0.211238
0.459000,-0.203776
0.460000,-0.195665
0.461000,-0.186906
0.462000,-0.179768
0.463000,-0.180417
0.464000,-0.183013
0.465000,-0.179768
0.466000,-0.164196
0.467000,-0.141810
0.468000,-0.111638
0.469000,-0.075951
0.470000,-0.038317
0.471000,-0.003279
0.472000,0.021378
0.473000,0.029164
0.474000,0.033382
0.475000,0.042466
0.476000,0.049928
0.477000,0.042790
0.478000,0.039222
0.479000,0.038897
0.480000,0.049603
0.481000,0.054145
0.482000,0.033382
0.483000,0.009050
0.484000,-0.009118
0.485000,-0.035397
0.486000,-0.078546
0.487000,-0.111638
0.488000,-0.129157
0.489000,-0.141810
0.490000,-0.158680
0.491000,-0.170360
0.492000,-0.181715
0.493000,-0.186906
0.494000,-0.187879
0.495000,-0.194692
0.496000,-0.209291
0.497000,-0.214158
0.498000,-0.206371
0.499000,-0.201829
0.500000,-0.200207
0.501000,-0.189501
0.502000,-0.174577
0.503000,-0.170035
0.504000,-0.175226
0.505000,-0.178795
0.506000,-0.185284
0.507000,-0.195990
0.508000,-0.206371
0.509000,-0.221944
0.510000,-0.231028
0.511000,-0.232975
0.512000,-0.240437
0.513000,-0.246925
0.514000,-0.244330
0.515000,-0.237192
0.516000,-0.236868
0.517000,-0.238814
0.518000,-0.245303
0.519000,-0.247250
0.520000,-0.251143
0.521000,-0.259902
0.522000,-0.269635
0.523000,-0.272880
0.524000,-0.269635
0.525000,-0.265742
0.526000,-0.257956
0.527000,-0.257307
0.528000,-0.249845
0.529000,-0.241734
0.530000,-0.248872
0.531000,-0.259253
0.532000,-0.268013
0.533000,-0.269635
0.534000,-0.263471
0.535000,-0.261524
0.536000,-0.256982
0.537000,-0.246276
0.538000,-0.249521
0.539000,-0.258929
0.540000,-0.264120
0.541000,-0.254063
0.542000,-0.247898
0.543000,-0.248872
0.544000,-0.244330
0.545000,-0.237517
0.546000,-0.233624
0.547000,-0.239139
0.548000,-0.244330
0.549000,-0.245303
0.550000,-0.249845
0.551000,-0.286181
0.552000,-0.354311
0.553000,-0.441258
0.554000,-0.562270
0.555000,-0.731298
0.556000,-0.925307
0.557000,-1.124830
0.558000,-1.306186
0.559000,-1.448286
0.560000,-1.521282
0.561000,-1.522904
0.562000,-1.434335
0.563000,-1.262388
0.564000,-1.020040
0.565000,-0.713779
0.566000,-0.326086
0.567000,0.142715
0.568000,0.629035
0.569000,1.096215
0.570000,1.558853
0.571000,1.971853
0.572000,2.330674
0.573000,2.622013
0.574000,2.814076
0.575000,2.937360
0.576000,2.967857
0.577000,2.874421
0.578000,2.640181
0.579000,2.282658
0.580000,1.880363
0.581000,1.476772
0.582000,1.100432
0.583000,0.736746
0.584000,0.430808
0.585000,0.208898
0.586000,0.053172
0.587000,-0.022420
0.588000,-0.049996
0.589000,-0.047725
0.590000,-0.042210
0.591000,-0.042210
0.592000,-0.044481
0.593000,-0.052267
0.594000,-0.067840
0.595000,-0.093146
0.596000,-0.117802
0.597000,-0.142783
0.598000,-0.172955
0.599000,-0.199234
0.600000,-0.224540
0.601000,-0.244330
0.602000,-0.259578
0.603000,-0.278719
0.604000,-0.302078
0.605000,-0.322517
0.606000,-0.334197
0.607000,-0.348472
0.608000,-0.365991
0.609000,-0.378319
0.610000,-0.382212
0.611000,-0.389350
0.612000,-0.389025
0.613000,-0.387728
0.614000,-0.378968
0.615000,-0.378319
0.616000,-0.402327
0.617000,-0.418224
0.618000,-0.430552
0.619000,-0.444827
0.620000,-0.454236
0.621000,-0.452289
0.622000,-0.442881
0.623000,-0.436392
0.624000,-0.436067
0.625000,-0.448396
0.626000,-0.452938
0.627000,-0.458453
0.628000,-0.462022
0.629000,-0.452613
0.630000,-0.450342
0.631000,-0.462346
0.632000,-0.467213
0.633000,-0.469159
0.634000,-0.458453
0.635000,-0.443854
0.636000,-0.436067
0.637000,-0.421468
0.638000,-0.415304
0.639000,-0.435419
0.640000,-0.456507
0.641000,-0.449369
0.642000,-0.449045
0.643000,-0.464293
0.644000,-0.458129
0.645000,-0.452289
0.646000,-0.463320
0.647000,-0.474350
0.648000,-0.474350
0.649000,-0.479541
0.650000,-0.488301
0.651000,-0.491545
0.652000,-0.493816
0.653000,-0.499331
0.654000,-0.506469
0.655000,-0.510037
0.656000,-0.519446
0.657000,-0.531450
0.658000,-0.535343
0.659000,-0.531450
0.660000,-0.524637
0.661000,-0.532099
0.662000,-0.536965
0.663000,-0.541183
0.664000,-0.542156
0.665000,-0.546698
0.666000,-0.559999
0.667000,-0.569732
0.668000,-0.579141
0.669000,-0.593091
0.670000,-0.602175
0.671000,-0.617099
0.672000,-0.637214
0.673000,-0.650515
0.674000,-0.650191
0.675000,-0.656031
0.676000,-0.658626
0.677000,-0.654084
0.678000,-0.653435
0.679000,-0.669332
0.680000,-0.688473
0.681000,-0.698531
0.682000,-0.695935
0.683000,-0.699180
0.684000,-0.720916
0.685000,-0.741680
0.686000,-0.762768
0.687000,-0.769581
0.688000,-0.765039
0.689000,-0.764065
0.690000,-0.776718
0.691000,-0.790344
0.692000,-0.800077
0.693000,-0.797806
0.694000,-0.799753
0.695000,-0.802672
0.696000,-0.799428
0.697000,-0.809810
0.698000,-0.833818
0.699000,-0.862367
0.700000,-0.887024
0.701000,-0.920765
0.702000,-0.946719
0.703000,-0.965536
0.704000,-0.982406
0.705000,-0.996357
0.706000,-1.022635
0.707000,-1.051834
0.708000,-1.066758
0.709000,-1.065460
0.710000,-1.043399
0.711000,-0.997330
0.712000,-0.947368
0.713000,-0.897081
0.714000,-0.845173
0.715000,-0.783207
0.716000,-0.716699
0.717000,-0.649218
0.718000,-0.588225
0.719000,-0.535343
0.720000,-0.485705
0.721000,-0.431525
0.722000,-0.381239
0.723000,-0.342632
0.724000,-0.322517
0.725000,-0.304349
0.726000,-0.287479
0.727000,-0.278719
0.728000,-0.275151
0.729000,-0.265418
0.730000,-0.257307
0.731000,-0.245627
0.732000,-0.234921
0.733000,-0.229082
0.734000,-0.221295
0.735000,-0.216104
0.736000,-0.218375
0.737000,-0.221944
0.738000,-0.215456
0.739000,-0.217402
0.740000,-0.221944
0.741000,-0.230704
0.742000,-0.240437
0.743000,-0.237192
0.744000,-0.225837
0.745000,-0.210589
0.746000,-0.200532
0.747000,-0.204749
0.748000,-0.199883
0.749000,-0.191123
0.750000,-0.204425
0.751000,-0.229082
0.752000,-0.231028
0.753000,-0.228433
0.754000,-0.232326
0.755000,-0.219024
0.756000,-0.207345
0.757000,-0.227459
0.758000,-0.242059
0.759000,-0.242708
0.760000,-0.243681
0.761000,-0.241410
0.762000,-0.245303
0.763000,-0.251467
0.764000,-0.254063
0.765000,-0.251467
0.766000,-0.244330
0.767000,-0.245627
0.768000,-0.253089
0.769000,-0.253089
0.770000,-0.252440
0.771000,-0.260876
0.772000,-0.265418
0.773000,-0.262822
0.774000,-0.257956
0.775000,-0.259902
0.776000,-0.257956
0.777000,-0.252440
0.778000,-0.249521
0.779000,-0.254387
0.780000,-0.260227
0.781000,-0.255036
0.782000,-0.246276
0.783000,-0.247898
0.784000,-0.257631
0.785000,-0.267364
0.786000,-0.269960
0.787000,-0.268662
0.788000,-0.264769
0.789000,-0.262822
0.790000,-0.250818
0.791000,-0.243356
0.792000,-0.253738
0.793000,-0.274177
0.794000,-0.279044
0.795000,-0.279044
0.796000,-0.271906
0.797000,-0.264769
0.798000,-0.258605
0.799000,-0.262822
0.800000,-0.258605
0.801000,-0.254387
0.802000,-0.253414
0.803000,-0.254711
0.804000,-0.256009
0.805000,-0.259253
0.806000,-0.260227
0.807000,-0.255685
0.808000,-0.252440
0.809000,-0.245627
0.810000,-0.235246
0.811000,-0.234272
0.812000,-0.243032
0.813000,-0.246601
0.814000,-0.232975
0.815000,-0.229082
0.816000,-0.221295
0.817000,-0.219673
0.818000,-0.226162
0.819000,-0.234272
0.820000,-0.234921
0.821000,-0.233299
0.822000,-0.236219
0.823000,-0.240761
0.824000,-0.243356
0.825000,-0.245627
0.826000,-0.247250
0.827000,-0.245303
0.828000,-0.244330
0.829000,-0.248223
0.830000,-0.250169
0.831000,-0.243032
0.832000,-0.239139
0.833000,-0.231677
0.834000,-0.221295
0.835000,-0.212860
0.836000,-0.202478
0.837000,-0.200856
0.838000,-0.196314
0.839000,-0.211238
0.840000,-0.220971
0.841000,-0.224215
0.842000,-0.216104
0.843000,-0.198261
0.844000,-0.183013
0.845000,-0.190799
0.846000,-0.185932
0.847000,-0.168089
0.848000,-0.140512
0.849000,-0.104501
0.850000,-0.082115
0.851000,-0.066867
0.852000,-0.057458
0.853000,-0.045130
0.854000,-0.034424
0.855000,-0.029557
0.856000,-0.025989
0.857000,-0.024042
0.858000,-0.018851
0.859000,-0.015607
0.860000,-0.023393
0.861000,-0.050970
0.862000,-0.077249
0.863000,-0.103203
0.864000,-0.130455
0.865000,-0.158031
0.866000,-0.188528
0.867000,-0.208642
0.868000,-0.227784
0.869000,-0.233948
0.870000,-0.223242
0.871000,-0.229730
0.872000,-0.244979
0.873000,-0.256982
0.874000,-0.263795
0.875000,-0.258929
0.876000,-0.246601
0.877000,-0.239139
0.878000,-0.237192
0.879000,-0.235246
0.880000,-0.233299
0.881000,-0.236219
0.882000,-0.232001
0.883000,-0.230379
0.884000,-0.228757
0.885000,-0.231677
0.886000,-0.221295
0.887000,-0.206371
0.888000,-0.197612
0.889000,-0.192745
0.890000,-0.186257
0.891000,-0.188203
0.892000,-0.197287
0.893000,-0.201181
0.894000,-0.203452
0.895000,-0.199883
0.896000,-0.191448
0.897000,-0.179119
0.898000,-0.161276
0.899000,-0.163547
0.900000,-0.180417
0.901000,-0.193394
0.902000,-0.194043
0.903000,-0.199883
0.904000,-0.197936
0.905000,-0.197287
0.906000,-0.208318
0.907000,-0.208642
0.908000,-0.199558
0.909000,-0.195016
0.910000,-0.191123
0.911000,-0.189826
0.912000,-0.195665
0.913000,-0.195665
0.914000,-0.183661
0.915000,-0.181390
0.916000,-0.184310
0.917000,-0.193719
0.918000,-0.195341
0.919000,-0.183337
0.920000,-0.167440
0.921000,-0.164845
0.922000,-0.164196
0.923000,-0.163547
0.924000,-0.167116
0.925000,-0.168738
0.926000,-0.168413
0.927000,-0.170360
0.928000,-0.176848
0.929000,-0.210913
0.930000,-0.271582
0.931000,-0.349120
0.932000,-0.459426
0.933000,-0.621641
0.934000,-0.808188
0.935000,-0.999276
0.936000,-1.196529
0.937000,-1.340900
0.938000,-1.427522
0.939000,-1.443419
0.940000,-1.365232
0.941000,-1.191987
0.942000,-0.947368
0.943000,-0.634294
0.944000,-0.236543
0.945000,0.233555
0.946000,0.696517
0.947000,1.151692
0.948000,1.611735
0.949000,2.019544
0.950000,2.356953
0.951000,2.643425
0.952000,2.843924
0.953000,2.983754
0.954000,3.027877
0.955000,2.936063
0.956000,2.695334
0.957000,2.345598
0.958000,1.953685
0.959000,1.563719
0.960000,1.191597
0.961000,0.824342
0.962000,0.524893
0.963000,0.310121
0.964000,0.160558
0.965000,0.090806
0.966000,0.076856
0.967000,0.084966
0.968000,0.095348
0.969000,0.088211
0.970000,0.083669
0.971000,0.078802
0.972000,0.064852
0.973000,0.038573
0.974000,0.009699
0.975000,-0.017553
0.976000,-0.046103
0.977000,-0.074004
0.978000,-0.100607
0.979000,-0.127535
0.980000,-0.157707
0.981000,-0.184635
0.982000,-0.207669
0.983000,-0.223891
0.984000,-0.234921
0.985000,-0.226811
0.986000,-0.220646
0.987000,-0.222269
0.988000,-0.239463
0.989000,-0.251143
0.990000,-0.256658
0.991000,-0.276773
0.992000,-0.302727
0.993000,-0.316677
0.994000,-0.325113
0.995000,-0.333548
0.996000,-0.341983
0.997000,-0.346201
0.998000,-0.351067
0.999000,-0.362422
1.000000,-0.367613
1.001000,-0.369235
1.002000,-0.359502
1.003000,-0.362422
1.004000,-0.366315
1.005000,-0.369884
1.006000,-0.371182
1.007000,-0.370857
1.008000,-0.368586
1.009000,-0.363071
1.010000,-0.355285
1.011000,-0.352689
1.012000,-0.359502
1.013000,-0.367937
1.014000,-0.367937
1.015000,-0.365342
1.016000,-0.357556
1.017000,-0.350094
1.018000,-0.330628
1.019000,-0.323815
1.020000,-0.326735
1.021000,-0.322517
1.022000,-0.338414
1.023000,-0.357231
1.024000,-0.374101
1.025000,-0.383510
1.026000,-0.379617
1.027000,-0.368262
1.028000,-0.363395
1.029000,-0.365342
1.030000,-0.358204
1.031000,-0.353338
1.032000,-0.365991
1.033000,-0.383186
1.034000,-0.397460
1.035000,-0.404273
1.036000,-0.408815
1.037000,-0.412384
1.038000,-0.416602
1.039000,-0.417899
1.040000,-0.412060
1.041000,-0.404598
1.042000,-0.401678
1.043000,-0.410113
1.044000,-0.421793
1.045000,-0.431850
1.046000,-0.439961
1.047000,-0.446449
1.048000,-0.456182
1.049000,-0.463320
1.050000,-0.470457
1.051000,-0.473377
1.052000,-0.472404
1.053000,-0.475323
1.054000,-0.467537
1.055000,-0.458453
1.056000,-0.463320
1.057000,-0.489274
1.058000,-0.506144
1.059000,-0.530801
1.060000,-0.546373
1.061000,-0.547996
1.062000,-0.547671
1.063000,-0.559351
1.064000,-0.574274
1.065000,-0.582385
1.066000,-0.597958
1.067000,-0.612881
1.068000,-0.629103
1.069000,-0.640782
1.070000,-0.651813
1.071000,-0.655706
1.072000,-0.657977
1.073000,-0.663168
1.074000,-0.673874
1.075000,-0.686851
1.076000,-0.705668
1.077000,-0.724485
1.078000,-0.746222
1.079000,-0.778989
1.080000,-0.804295
1.081000,-0.823760
1.082000,-0.850039
1.083000,-0.882158
1.084000,-0.900326
1.085000,-0.902921
1.086000,-0.901623
1.087000,-0.887673
1.088000,-0.857825
1.089000,-0.819218
1.090000,-0.770878
1.091000,-0.717023
1.092000,-0.660897
1.093000,-0.605095
1.094000,-0.537289
1.095000,-0.466888
1.096000,-0.400056
1.097000,-0.341983
1.098000,-0.301105
1.099000,-0.262498
1.100000,-0.229082
1.101000,-0.196639
1.102000,-0.168089
1.103000,-0.150245
1.104000,-0.147650
1.105000,-0.142134
1.106000,-0.129157
1.107000,-0.112611
1.108000,-0.096390
1.109000,-0.082764
1.110000,-0.075951
1.111000,-0.077573
1.112000,-0.071733
1.113000,-0.056485
1.114000,-0.036695
1.115000,-0.034099
1.116000,-0.044157
1.117000,-0.047077
1.118000,-0.040264
1.119000,-0.031828
1.120000,-0.031828
1.121000,-0.028909
1.122000,-0.027935
1.123000,-0.021447
1.124000,-0.012687
1.125000,-0.007172
1.126000,-0.002305
1.127000,0.004832
1.128000,0.012943
1.129000,0.017485
1.130000,0.021378
1.131000,0.020080
1.132000,0.017485
1.133000,0.020405
1.134000,0.024947
1.135000,0.026245
1.136000,0.025271
1.137000,0.014565
1.138000,0.014889
1.139000,0.017485
1.140000,0.020080
1.141000,0.022027
1.142000,0.023973
1.143000,0.028516
1.144000,0.032733
1.145000,0.023973
1.146000,0.017809
1.147000,0.010347
1.148000,0.011321
1.149000,0.002561
1.150000,-0.003603
1.151000,-0.004252
1.152000,-0.002305
1.153000,-0.003927
1.154000,-0.003927
1.155000,-0.004576
1.156000,-0.016905
1.157000,-0.023069
1.158000,-0.021447
1.159000,-0.014634
1.160000,-0.011714
1.161000,-0.011389
1.162000,-0.014958
1.163000,-0.023393
1.164000,-0.033775
1.165000,-0.035722
1.166000,-0.031504
1.167000,-0.035397
1.168000,-0.042859
1.169000,-0.037668
1.170000,-0.026638
1.171000,-0.013985
1.172000,-3.429578E-5
1.173000,0.003859
1.174000,-0.000683
1.175000,-0.002630
1.176000,-0.001981
1.177000,-0.004576
1.178000,-0.004901
1.179000,-0.001981
1.180000,-0.000359
1.181000,0.003210
1.182000,0.005805
1.183000,0.000939
1.184000,-0.005225
1.185000,-3.429578E-5
1.186000,0.007752
1.187000,0.015538
1.188000,0.021378
1.189000,0.013592
1.190000,0.003859
1.191000,-0.004252
1.192000,-0.010092
1.193000,-0.006847
1.194000,0.007428
1.195000,0.015538
1.196000,0.018134
1.197000,0.019107
1.198000,0.022676
1.199000,0.023325
1.200000,0.021378
1.201000,0.018458
1.202000,0.013267
1.203000,0.022351
1.204000,0.030462
1.205000,0.035653
1.206000,0.034355
1.207000,0.031435
1.208000,0.039871
1.209000,0.058039
1.210000,0.074585
1.211000,0.075558
1.212000,0.081073
1.213000,0.088859
1.214000,0.089833
1.215000,0.091455
1.216000,0.093726
1.217000,0.090157
1.218000,0.086264
1.219000,0.084317
1.220000,0.092753
1.221000,0.111894
1.222000,0.132982
1.223000,0.153097
1.224000,0.178402
1.225000,0.204681
1.226000,0.229662
1.227000,0.252696
1.228000,0.271189
1.229000,0.277678
1.230000,0.277678
1.231000,0.277678
1.232000,0.273136
1.233000,0.264051
1.234000,0.261780
1.235000,0.262754
1.236000,0.266647
1.237000,0.264700
1.238000,0.252696
1.239000,0.231933
1.240000,0.191055
1.241000,0.141417
1.242000,0.103459
1.243000,0.084966
1.244000,0.083669
1.245000,0.089833
1.246000,0.085615
1.247000,0.073936
1.248000,0.071016
1.249000,0.074585
1.250000,0.092428
1.251000,0.083669
1.252000,0.055119
1.253000,0.031760
1.254000,0.024298
1.255000,0.033706
1.256000,0.039546
1.257000,0.037924
1.258000,0.022676
1.259000,0.010672
1.260000,0.008401
1.261000,0.011321
1.262000,0.019431
1.263000,0.029813
1.264000,0.037275
1.265000,0.043439
1.266000,0.051874
1.267000,0.056416
1.268000,0.058363
1.269000,0.056092
1.270000,0.059012
1.271000,0.063229
1.272000,0.063554
1.273000,0.065500
1.274000,0.073287
1.275000,0.076531
1.276000,0.074260
1.277000,0.066798
1.278000,0.066798
1.279000,0.071016
1.280000,0.071989
1.281000,0.064527
1.282000,0.058363
1.283000,0.058363
1.284000,0.063554
1.285000,0.074260
1.286000,0.075233
1.287000,0.074260
1.288000,0.068096
1.289000,0.067447
1.290000,0.069718
1.291000,0.078802
